title,component,vintage_date,units,freq,seas_adj,updated
Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,CUSR0000SETG01,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Alcoholic Beverages at Home in U.S. City Average,CUSR0000SEFW,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,CUSR0000SEFX,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Alcoholic Beverages in U.S. City Average,CUSR0000SAF116,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,CPIAUCSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average,CPIAPPSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Cereals and Bakery Products in U.S. City Average,CUSR0000SAF111,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Coffee in U.S. City Average,CUSR0000SEFP01,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Dairy and Related Products in U.S. City Average,CUSR0000SEFJ,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average,CUSR0000SEHF01,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Energy Services in U.S. City Average,CUSR0000SEHF,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Fats and Oils in U.S. City Average,CUSR0000SEFS,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Food and Beverages in U.S. City Average,CPIFABSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average,CUSR0000SAF11,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average,CUSR0000SEFV,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Food in U.S. City Average,CPIUFDSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Footwear in U.S. City Average,CUSR0000SEAE,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Fruits and Vegetables in U.S. City Average,CUSR0000SAF113,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Fuel Oil and Other Fuels in U.S. City Average,CUSR0000SEHE,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Fuels and Utilities in U.S. City Average,CUSR0000SAH2,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Gasoline (All Types) in U.S. City Average,CUSR0000SETB01,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Household Energy in U.S. City Average,CUSR0000SAH21,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Household Furnishings and Operations in U.S. City Average,CUSR0000SAH3,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Housing in U.S. City Average,CPIHOSSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Infants' and Toddlers' Apparel in U.S. City Average,CUSR0000SEAF,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Lodging Away from Home in U.S. City Average,CUSR0000SEHB,Current,Index Dec 1997=100,M,SA,2022-09-13
"Consumer Price Index for All Urban Consumers: Meats, Poultry, Fish, and Eggs in U.S. City Average",CUSR0000SAF112,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Men's and Boys' Apparel in U.S. City Average,CUSR0000SAA1,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Motor Fuel in U.S. City Average,CUSR0000SETB,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Motor Vehicle Maintenance and Repair in U.S. City Average,CUSR0000SETD,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Motor Vehicle Parts and Equipment in U.S. City Average,CUSR0000SETC,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: New and Used Motor Vehicles in U.S. City Average,CUSR0000SETA,Current,Index Dec 1997=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average,CUSR0000SETA01,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Nonalcoholic Beverages and Beverage Materials in U.S. City Average,CUSR0000SAF114,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Other Food at Home in U.S. City Average,CUSR0000SAF115,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Other Food Away from Home in U.S. City Average,CUSR0000SEFV05,Current,Index Dec 1997=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Other Foods in U.S. City Average,CUSR0000SEFT,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Primary Residence in U.S. City Average,CUSR0000SEHC01,Current,Index Dec 1982=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Residences in U.S. City Average,CUSR0000SEHC,Current,Index Dec 1982=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Private Transportation in U.S. City Average,CUSR0000SAT1,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Public Transportation in U.S. City Average,CUSR0000SETG,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average,CUSR0000SEHA,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average,CUSR0000SAH1,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Sugar and Sweets in U.S. City Average,CUSR0000SEFR,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average,CPITRNSL,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average,CUSR0000SETA02,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Utility (Piped) Gas Service in U.S. City Average,CUSR0000SEHF02,Current,Index 1982-1984=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Water and Sewer and Trash Collection Services in U.S. City Average,CUSR0000SEHG,Current,Index Dec 1997=100,M,SA,2022-09-13
Consumer Price Index for All Urban Consumers: Women's and Girls' Apparel in U.S. City Average,CUSR0000SAA2,Current,Index 1982-1984=100,M,SA,2022-09-13
