period_start,cancellation_rate,match_rate,group
19/2/18 09:40,5.3,59.8,A - 5 min
19/2/18 15:00,6.4,72.5,A - 5 min
19/2/18 20:20,3.9,60.4,A - 5 min
20/2/18 01:40,4,51.7,A - 5 min
20/2/18 07:00,6.5,60.3,A - 5 min
20/2/18 12:20,4.6,61.8,A - 5 min
20/2/18 17:40,4.7,61.8,A - 5 min
20/2/18 23:00,5.1,62.1,A - 5 min
21/2/18 04:20,4.7,54.9,A - 5 min
21/2/18 09:40,4.6,58.8,A - 5 min
21/2/18 15:00,5.6,80.2,A - 5 min
21/2/18 20:20,5.1,57.3,A - 5 min
22/2/18 01:40,4.6,63.9,A - 5 min
22/2/18 07:00,7.1,68.5,A - 5 min
22/2/18 12:20,4.3,54,A - 5 min
22/2/18 17:40,4.1,55.1,A - 5 min
22/2/18 23:00,5.1,66.3,A - 5 min
23/2/18 04:20,4.4,63.6,A - 5 min
23/2/18 09:40,4.7,69.5,A - 5 min
23/2/18 15:00,6.5,82,A - 5 min
23/2/18 20:20,4.5,48.2,A - 5 min
24/2/18 01:40,4.8,62.6,A - 5 min
24/2/18 07:00,4.7,65.4,A - 5 min
24/2/18 12:20,4.4,59.4,A - 5 min
24/2/18 17:40,4.3,56.6,A - 5 min
24/2/18 23:00,4.1,69.9,A - 5 min
25/2/18 04:20,4.9,73.1,A - 5 min
25/2/18 09:40,4.2,68.2,A - 5 min
25/2/18 15:00,4.5,55,A - 5 min
25/2/18 20:20,4.2,60.6,A - 5 min
26/2/18 01:40,5,54.5,A - 5 min
26/2/18 07:00,6.4,69.1,A - 5 min
26/2/18 12:20,4.9,62.5,A - 5 min
26/2/18 17:40,4.9,67.1,A - 5 min
26/2/18 23:00,4.3,61.8,A - 5 min
27/2/18 04:20,5,48.4,A - 5 min
27/2/18 09:40,5.5,60.9,A - 5 min
27/2/18 15:00,5.9,78.6,A - 5 min
27/2/18 20:20,4.6,62.1,A - 5 min
28/2/18 01:40,5.3,67.2,A - 5 min
28/2/18 07:00,6.9,77.7,A - 5 min
28/2/18 12:20,4.7,66.5,A - 5 min
28/2/18 17:40,4.1,63.1,A - 5 min
28/2/18 23:00,4.4,52,A - 5 min
1/3/18 04:20,4,64.4,A - 5 min
1/3/18 09:40,4.9,53.6,A - 5 min
1/3/18 15:00,6.3,63.6,A - 5 min
1/3/18 20:20,4.1,60.2,A - 5 min
2/3/18 01:40,5.3,66.8,A - 5 min
2/3/18 07:00,6.8,81.2,A - 5 min
2/3/18 12:20,3.9,52.2,A - 5 min
2/3/18 17:40,4.4,64.7,A - 5 min
2/3/18 23:00,4.6,45.9,A - 5 min
3/3/18 04:20,4.7,63.1,A - 5 min
3/3/18 09:40,3.8,65.8,A - 5 min
3/3/18 15:00,4.3,53.4,A - 5 min
3/3/18 20:20,3.6,63.4,A - 5 min
4/3/18 01:40,4.4,68.4,A - 5 min
4/3/18 07:00,3.6,51.1,A - 5 min
4/3/18 12:20,5.4,52.1,A - 5 min
4/3/18 17:40,4,59.5,A - 5 min
4/3/18 23:00,4.4,66.1,A - 5 min
5/3/18 04:20,5.2,62.4,A - 5 min
19/2/18 07:00,5.5,72.4,B - 2min
19/2/18 12:20,3.3,64.4,B - 2min
19/2/18 17:40,4.6,55.7,B - 2min
19/2/18 23:00,2.7,69.2,B - 2min
20/2/18 04:20,3.5,70.3,B - 2min
20/2/18 09:40,3.8,62.4,B - 2min
20/2/18 15:00,4.8,76.6,B - 2min
20/2/18 20:20,3.8,53.7,B - 2min
21/2/18 01:40,3.6,55.4,B - 2min
21/2/18 07:00,4.5,66.4,B - 2min
21/2/18 12:20,4,72,B - 2min
21/2/18 17:40,3.9,59.2,B - 2min
21/2/18 23:00,4.3,58.1,B - 2min
22/2/18 04:20,3.4,58.1,B - 2min
22/2/18 09:40,4.1,59.2,B - 2min
22/2/18 15:00,5.8,83.3,B - 2min
22/2/18 20:20,4.1,55.8,B - 2min
23/2/18 01:40,4.3,64.5,B - 2min
23/2/18 07:00,4.8,80,B - 2min
23/2/18 12:20,4.3,60.3,B - 2min
23/2/18 17:40,4.7,64.7,B - 2min
23/2/18 23:00,3.6,71.4,B - 2min
24/2/18 04:20,2.9,79.6,B - 2min
24/2/18 09:40,4.2,67.1,B - 2min
